yllätys,,,,,en överraskning,,,,
teini-ikäinen,teini,,,,en tonåring,en ungdom,,,
perusteltu syy,pätevä syy,,,,en skälig anledning,ett giltigt skäl,,,
seura,,,,,ett sällskap,ett umgänge,,,
rehellinen,suora,,,,ärlig,uppriktig,,,
väkivaltarikollinen,rikollinen,,,,en våldsbrottsling,en våldsam gärningsman,,,
raskaana,odottava,,,,gravid,havande,,,
lyödä,hakata,,,,slå,knacka,,,
uhata,pelotella,,,,hota,skrämma,,,
asianajaja,lakimies,,,,en advokat,en jurist,,,
salama kirkkaalta taivaalta,,,,,blixt från klar himmel,blixt från en klar himmel,,,
yllättäen,odottamatta,,,,oväntat,plötsligt,,,
hankala,vaikea,työläs,,,,jobbig,besvärlig,krånglig,,
tiukka,kireä,ahdas,,,,tajta,trång,snäv,,
mukana,osallinen,,,,involverad,delaktig,engagerad,,
sekava,sotkuinen,kaaosmainen,,,,strulig,rörig,,,
ymmärtää,tajuta,käsittää,,,,fatta,förstå,begripa,,
sekoittaa,yhdistää,sekoitella,,,,blanda,mixtra,röra ihop,,
hakea,noutaa,,,,hämta,plocka upp,ta med,,
ääni,soundi,,,,ett ljud,ett klang,ett oljud,,
outo,kummallinen,omituinen,,,,konstig,underlig,märklig,,
olohuone,,,,,ett vardagsrum,en salong,,,
päätyä,joutua,,,,hamna,råka hamna,,,
jokaikinen,jokainen,,,,varenda,varje enda,var och en,,
vahingoittaa,satuttaa,haitata,,,,skada,skada sig,skada någon,,
kiusata,,,,,reta,retas,gå på nerverna,,
täplikäs,pilkullinen,,,,prickig,fläckig,spetsad,,
vaikutus,merkitys,,,,ett inflytande,en påverkan,en inverkan,,
tilata,varata,,,,beställa,boka,reservera,,
ikkuna,,,,,ett fönster,,,,
huolehtia,hoitaa,,,,sköta,ta hand om,vårda,,
puhua,jutella,keskustella,,,,snacka,prata,,,
vain,ainoa,yksin,,,,enda,ensam,,,
älä välitä,olla välittämättä,sivuuttaa,,,,strunta,strunta i,ignorera,,
pakottaa,painostaa,,,,tvinga,pressa,förmå,,
todistaa,lausua,,,,vittna,bevittna,intyga,,
ihmetellä,pohtia,kummastella,,,,undra,fundera,grubbla,,
turvotus,pöhö,,,,en svullnad,en uppsvullnad,,,
liikkuvuus,notkeus,,,,en rörlighet,en flexibilitet,en vigör,,
kääntää,suunnata,,,,vinkla,vrida,justera,,
vitun hyvä,superhyvä,fantastinen,,,,skitbra,fantastisk,grymt bra,,
tervehtiä,morottaa,,,,hälsa,välkomna,säga hej,,
koskettaa,hipaista,koskea,,,,nudda,vidröra,snudda,,
pyöriä,kiertää,kieppua,,,,snurra,rotera,vrida runt,,
kehua,ylpeillä,leuhkia,,,,skryta,skrodera,briljera,,
komea,hyvännäköinen,,,,snygg,stilig,,,
vankila,kakola,,,,ett fängelse,ett häkte,,,
nalkuttaa,jankata,,,,tjata,,,,
tänä aamuna,aamulla,,,,i morse,,,,
hyvä,,,,,duktig,bra,,,
kaunis,ihana,,,,skön,vacker,,,
ruma,,,,,oskön,ful,,,
koe,koe-esiintyminen,koesoitto,,,,en audition,en provspelning,,,
hauska,kiva,,,,kul,rolig,underhållande,,
vaatekaappi,,,,,en garderob,en klädskåp,,,
tavara,asia,esine,,,,en grej,en sak,,,
roikkua,riippua,,,,hänga,hänga upp,hänga med,,
olisi,,,,,vore,skulle vara,,,
leuka,turpa,,,,en käft,en haka,,,
kova,karski,ankara,,,,tuff,hård,,,
kasvot,naama,,,,ett ansikte,,,,
paskoa,kakata,,,,skita,bajsa,,,
nolo,kiusallinen,,,,pinsamt,,,,
haudata,,,,,begrava,jordfästa,lägga i grav,,
yleissivistynyt,sivistynyt,,,,allmänbildad,bildad,,,
pureskella,purra,puraista,,,,tugga,bita,,,
säätää,sotkea,,,,strula,krångla,,,
nukahtaa,vaipua uneen,,,,somna,falla i sömn,,,
satuttaa,loukata,,,,såra,skada känslor,,,
puristaa,nipistää,,,,knipa,klämma,nypa,,
viihtyisä,,,,,mysig,,,,
kypsä,aikuismainen,,,,mogen,fullvuxen,färdigutvecklad,,
kehittymätön,epäkypsä,lapsellinen,,,,omogen,barnslig,,,
määrittää,päättää,,,,bestämma,avgöra,fastställa,,
surullinen,murheellinen,,,,sorglig,trist,ledsam,,
pelkuri,arkajalka,arka,,,,feg,,,,
sopia,käydä yksiin,,,,stämma,överensstämma,matcha,,
sattua,joutua,,,,råka,hamna,hända i misstag,,
mukava,reilu,,,,schyst,trevligt,,,
saada selvää,huomata,,,,få reda,upptäcka,få veta,,
sanoa,todeta,ilmoittaa,,,,säga,uttala,yttra,,
katsoa,nähdä,,,,se,titta,kolla,,
asettaa,laittaa,,,,sätta,placera,lägga,,
inhimillinen,,,,,mänsklig,,,,
ärsyttää,,,,,störa,förarga,irritera,,
vihainen,raivoissaan,,,,arg,ilsken,förbannad,,
jopa,vieläpä,,,,till och med,även,,,
valita,,,,,välja,,,,
vaihtaa,muuttaa,,,,byta,skifta,växla,,
aikaansaannos,keksintö,idea,,,,ett påhitt,en idé,en skapelse,,
nippu,kimppu,,,,en bunte,ett knippe,,,
julma,raaka,,,,grym,,,,
haista,,,,,lukta,stinka,,,
tylsä,ikävystyttävä,,,,tråkig,,,,
nopea,vikkelä,,,,hastig,snabb,,,
merkitä,tägätä,,,,tagga,märka,,,
piilottaa,kätkeä,,,,gömma,dölja,gömma undan,,
vitsailla,laskea leikkiä,,,,skämta,skoja,lustigera sig,,
kaikki,,,,,allihopa,samtliga,all,,
kaivata,ikäväöidä,,,,sakna,längta efter,,,
varovainen,tarkka,,,,försiktig,varsam,aktsam,,
satuttaa,loukata,,,,såra,göra illa,skada känslor,,
ansaita,olla oikeutettu,,,,förtjäna,vara värd,ha rätt till,,
viipyä,kestää,,,,dröja,ta tid,låta vänta på sig,,
ilo,,,,,nöje,,,,
vilustuminen,flunssa,,,,en förkylning,,,,
ratkaista,selvittää,,,,lösa,klara upp,få bukt med,,
kykenevä,taitava,osaava,,,,kompetent,kunnig,,,
vitsailla,laskea leikkiä,,,,skoja,skämta,busa,,
kehno,surkea,huono,,,,taskig,elak,dum,,
heittää,viskata,nakata,,,,kasta,slänga,hiva,,
nälkäinen,tehdä mieli,,,,sugen,hungrig,sugen på,,
kertosäe,,,,,en refräng,,,,
olla,olla olemassa,,,,finna,existera,finnas,,
kutsua,,,,,bjuda,inbjuda,invitera,,
sumea,,,,,fjunig,luddig,,,
nyökätä,nyökkäillä,,,,nicka,böja huvudet,gera nick,,
väijyä,vaania,,,,lurka,smyga,ligga på lur,,
haarukka,,,,,en gaffel,,,,
veitsi,,,,,en kniv,,,,
lautanen,,,,,en tallrik,,,,
kulho,,,,,en skål,,,,
lusikka,,,,,en sked,,,,
muki,kuppi,,,,en kopp,,,,
lamppu,,,,,en lampa,,,,
matto,,,,,en matta,,,,
tuoksua,,,,,dofta,,,,
